mod,feature,group
rna,Hba-a1,hb
rna,Hba-a2,hb
rna,Hbb-bs,hb
rna,Hbb-b2,hb
rna,Hbb-bt,hb
rna,Hbb-bh2,hb
rna,Hbb-b1,hb
rna,Hbb-y,hb
rna,Hbb-bh1,hb
rna,Hbb-bh0,hb
rna,Hbq1a,hb
rna,Hbq1b,hb
rna,Hba-x,hb
rna,Igll1,exclude
rna,Igll1,ig
rna,Iglon5,ig
rna,Iglon5,exclude
rna,Rp1,rp
rna,Rp1l1,rp
rna,Rp2,rp
rna,Rp9,rp
rna,Rpa1,rp
rna,Rpa2,rp
rna,Rpa3,rp
rna,Rpain,rp
rna,Rpap1,rp
rna,Rpap2,rp
rna,Rpap3,rp
rna,Rpe,rp
rna,Rpe65,rp
rna,Rpf1,rp
rna,Rpf2,rp
rna,Rpgr,rp
rna,Rpgrip1,rp
rna,Rpgrip1l,rp
rna,Rph3a,rp
rna,Rph3al,rp
rna,Rpia,rp
rna,Rpl10,rp
rna,Rpl10-ps3,rp
rna,Rpl10a,rp
rna,Rpl10l,rp
rna,Rpl11,rp
rna,Rpl12,rp
rna,Rpl13,rp
rna,Rpl13-ps6,rp
rna,Rpl13a,rp
rna,Rpl14,rp
rna,Rpl15,rp
rna,Rpl17-ps8,rp
rna,Rpl17,rp
rna,Rpl18,rp
rna,Rpl18a,rp
rna,Rpl19,rp
rna,Rpl21,rp
rna,Rpl22,rp
rna,Rpl22l1,rp
rna,Rpl23,rp
rna,Rpl23a,rp
rna,Rpl24,rp
rna,Rpl26,rp
rna,Rpl27,rp
rna,Rpl27a,rp
rna,Rpl28,rp
rna,Rpl27rt,rp
rna,Rpl29,rp
rna,Rpl3,rp
rna,Rpl30,rp
rna,Rpl31,rp
rna,Rpl32l,rp
rna,Rpl32,rp
rna,Rpl34-ps1,rp
rna,Rpl34,rp
rna,Rpl34-ps2,rp
rna,Rpl35rt,rp
rna,Rpl35,rp
rna,Rpl35a,rp
rna,Rpl36-ps12,rp
rna,Rpl36,rp
rna,Rpl36a,rp
rna,Rpl36al,rp
rna,Rpl37,rp
rna,Rpl37rt,rp
rna,Rpl37a,rp
rna,Rpl38,rp
rna,Rpl39,rp
rna,Rpl39l,rp
rna,Rpl3l,rp
rna,Rpl4,rp
rna,Rpl5,rp
rna,Rpl6,rp
rna,Rpl6l,rp
rna,Rpl7,rp
rna,Rpl7a,rp
rna,Rpl7l1,rp
rna,Rpl8,rp
rna,Rpl9-ps1,rp
rna,Rpl9,rp
rna,Rpl9-ps6,rp
rna,Rplp0,rp
rna,Rplp1,rp
rna,Rplp1rt,rp
rna,Rplp2,rp
rna,Rplp2-ps1,rp
rna,Rpn1,rp
rna,Rpn2,rp
rna,Rpp14,rp
rna,Rpp21,rp
rna,Rpp25,rp
rna,Rpp25l,rp
rna,Rpp30,rp
rna,Rpp38,rp
rna,Rpp40,rp
rna,Rprd1a,rp
rna,Rprd1b,rp
rna,Rprd2,rp
rna,Rprm,rp
rna,Rprml,rp
rna,Rps10,rp
rna,Rps11,rp
rna,Rps12,rp
rna,Rps13,rp
rna,Rps14,rp
rna,Rps15,rp
rna,Rps15a,rp
rna,Rps16,rp
rna,Rps17,rp
rna,Rps18,rp
rna,Rps19,rp
rna,Rps19bp1,rp
rna,Rps2,rp
rna,Rps20,rp
rna,Rps21,rp
rna,Rps23,rp
rna,Rps24,rp
rna,Rps25,rp
rna,Rps26,rp
rna,Rps27rt,rp
rna,Rps27,rp
rna,Rps27a,rp
rna,Rps27l,rp
rna,Rps28,rp
rna,Rps29,rp
rna,Rps3,rp
rna,Rps3a1,rp
rna,Rps4x,rp
rna,Rps5,rp
rna,Rps6-ps4,rp
rna,Rps6,rp
rna,Rps6ka1,rp
rna,Rps6ka2,rp
rna,Rps6ka3,rp
rna,Rps6ka4,rp
rna,Rps6ka5,rp
rna,Rps6ka6,rp
rna,Rps6kb1,rp
rna,Rps6kb2,rp
rna,Rps6kc1,rp
rna,Rps6kl1,rp
rna,Rps7,rp
rna,Rps8,rp
rna,Rps9,rp
rna,Rpsa,rp
rna,Rptn,rp
rna,Rptor,rp
rna,Rpusd1,rp
rna,Rpusd2,rp
rna,Rpusd3,rp
rna,Rpusd4,rp
rna,Traj33,exclude
rna,Traj38,exclude
rna,Traj53,exclude
rna,Trav11,exclude
rna,Trav11d,exclude
rna,Trav8d-1,exclude
rna,Trav8d-2,exclude
rna,Trav8n-2,exclude
rna,Trav8-1,exclude
rna,Trav12n-2,exclude
rna,Trav12-2,exclude
rna,Trav12-3,exclude
rna,Trav12n-3,exclude
rna,Trav12-1,exclude
rna,Trav12d-1,exclude
rna,Trav12d-3,exclude
rna,Trav12n-1,exclude
rna,Trav12d-2,exclude
rna,Trav16n,exclude
rna,Trav16,exclude
rna,Trav16d-dv11,exclude
rna,Trav13d-1,exclude
rna,Trav13n-2,exclude
rna,Trav13d-3,exclude
rna,Trav13-1,exclude
rna,Trav13-2,exclude
rna,Trav13-4-dv7,exclude
rna,Trav13d-4,exclude
rna,Trav13d-2,exclude
rna,Trav13n-1,exclude
rna,Trav13n-3,exclude
rna,Trav13-5,exclude
rna,Trav13n-4,exclude
rna,Trav14-2,exclude
rna,Trav14-3,exclude
rna,Trav14d-3-dv8,exclude
rna,Trav14-1,exclude
rna,Trav14n-3,exclude
rna,Trav14n-2,exclude
rna,Trav14n-1,exclude
rna,Trav14d-2,exclude
rna,Trav18,exclude
rna,Trav19,exclude
rna,Trdv1,exclude
rna,Trav23,exclude
rna,Trav2,exclude
rna,Trav3-1,exclude
rna,Trav3n-3,exclude
rna,Trav3d-3,exclude
rna,Trav3-4,exclude
rna,Trav3-3,exclude
rna,Trbv12-1,exclude
rna,Trbv12-2,exclude
rna,Trbv17,exclude
rna,Trbv19,exclude
rna,Trbv3,exclude
rna,Trbv28,exclude
rna,Trbv31,exclude
rna,Trdj2,exclude
rna,Trgv7,exclude
rna,Trgv3,exclude
rna,Trgv2,exclude
rna,Trgv1,exclude
rna,mt-Nd1,mt
rna,mt-Nd2,mt
rna,mt-Co1,mt
rna,mt-Co2,mt
rna,mt-Atp8,mt
rna,mt-Atp6,mt
rna,mt-Co3,mt
rna,mt-Nd3,mt
rna,mt-Nd4l,mt
rna,mt-Nd4,mt
rna,mt-Nd5,mt
rna,mt-Nd6,mt
rna,mt-Cytb,mt
rna,Cd8b1,CD8cytotoxic
rna,Cd8a,CD8cytotoxic
rna,Adgrg5,CD8cytotoxic
rna,Klrd1,CD8cytotoxic
rna,Itgae,CD8cytotoxic
rna,Fam241a,CD8cytotoxic
rna,Ccr9,CD8cytotoxic
rna,Trbv14,CD8cytotoxic
rna,Nkg7,CD8cytotoxic
rna,Cd226,CD8cytotoxic